country_code,country_name,wb_region,wb_income,isic_section_index,isic_section_name,industry_id,industry_name,growth_rate_2015,growth_rate_2016,growth_rate_2017,growth_rate_2018,growth_rate_2019
at,Austria,Europe & Central Asia,High income,M,Professional scientific and technical activities,110,Events Services,-1.66%,-2.21%,-0.44%,1.62%,-1.42%
at,Austria,Europe & Central Asia,High income,M,Professional scientific and technical activities,114,Nanotechnology,2.70%,-1.33%,2.47%,1.15%,12.63%
at,Austria,Europe & Central Asia,High income,M,Professional scientific and technical activities,123,Outsourcing/Offshoring,2.14%,4.69%,15.38%,5.74%,-8.26%
at,Austria,Europe & Central Asia,High income,M,Professional scientific and technical activities,135,Mechanical or Industrial Engineering,2.46%,2.06%,2.13%,0.83%,2.02%
at,Austria,Europe & Central Asia,High income,M,Professional scientific and technical activities,136,Photography,4.70%,0.61%,1.54%,-0.90%,0.00%
at,Austria,Europe & Central Asia,High income,M,Professional scientific and technical activities,140,Graphic Design,-1.07%,3.89%,2.19%,2.72%,2.66%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",28,Entertainment,1.95%,3.91%,0.80%,0.00%,-4.59%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",33,Sports,5.94%,5.09%,3.05%,2.09%,2.70%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",37,Museums & Institutions,1.48%,-1.01%,1.84%,1.31%,1.50%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",38,Fine Art,2.25%,4.07%,0.44%,0.44%,-2.16%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",39,Performing Arts,-1.05%,-3.66%,-4.17%,0.53%,0.00%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",85,Libraries,-1.41%,-3.08%,1.61%,0.00%,2.99%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",111,Arts & Crafts,-2.91%,0.00%,3.05%,-0.57%,0.56%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",115,Music,1.00%,-0.17%,-0.34%,0.51%,-0.50%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",124,"Health, Wellness & Fitness",2.02%,1.35%,3.00%,2.06%,2.38%
at,Austria,Europe & Central Asia,High income,R,"Arts, entertainment and recreation ",127,Animation,12.16%,-7.32%,7.69%,7.32%,-4.76%
au,Australia,East Asia & Pacific,High income,B,Mining and quarrying,56,Mining & Metals,-2.98%,-0.94%,2.54%,2.99%,1.99%
au,Australia,East Asia & Pacific,High income,B,Mining and quarrying,57,Oil & Energy,-1.45%,-1.94%,0.78%,0.62%,0.39%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,15,Pharmaceuticals,5.22%,3.84%,1.97%,1.82%,0.53%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,23,Food Production,2.88%,1.67%,0.66%,1.58%,1.04%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,52,Aviation & Aerospace,4.54%,5.94%,4.38%,3.97%,1.29%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,53,Automotive,2.68%,2.34%,0.67%,0.23%,-0.98%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,54,Chemicals,4.69%,3.02%,2.36%,0.96%,0.31%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,55,Machinery,0.02%,1.15%,2.21%,1.74%,1.38%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,58,Shipbuilding,20.36%,19.49%,11.16%,6.39%,0.94%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,60,Textiles,1.54%,1.56%,1.50%,0.54%,0.65%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,61,Paper & Forest Products,2.49%,2.07%,2.42%,-0.27%,-0.34%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,62,Railroad Manufacture,3.72%,6.80%,4.55%,10.53%,1.54%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,83,Printing,-0.72%,-0.41%,-0.66%,-0.66%,-1.45%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,112,Electrical & Electronic Manufacturing,2.22%,1.63%,2.46%,0.76%,-0.38%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,117,Plastics,1.18%,0.63%,2.32%,0.40%,0.69%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,144,Renewables & Environment,6.39%,8.64%,7.49%,7.02%,2.27%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,145,"Glass, Ceramics & Concrete",3.00%,0.57%,1.33%,-0.09%,0.28%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,146,Packaging & Containers,2.26%,2.22%,1.54%,1.17%,0.41%
au,Australia,East Asia & Pacific,High income,C,Manufacturing,147,Industrial Automation,5.96%,6.06%,5.41%,6.25%,3.00%
au,Australia,East Asia & Pacific,High income,J,Information and communication,3,Computer Hardware,0.81%,3.63%,1.17%,-0.68%,-0.39%
au,Australia,East Asia & Pacific,High income,J,Information and communication,4,Computer Software,13.72%,12.64%,8.97%,7.00%,4.50%
au,Australia,East Asia & Pacific,High income,J,Information and communication,5,Computer Networking,14.03%,12.01%,3.64%,3.90%,2.36%
au,Australia,East Asia & Pacific,High income,J,Information and communication,6,Internet,16.60%,13.49%,10.10%,7.18%,4.61%
au,Australia,East Asia & Pacific,High income,J,Information and communication,7,Semiconductors,35.92%,25.76%,16.69%,13.13%,2.03%
au,Australia,East Asia & Pacific,High income,J,Information and communication,8,Telecommunications,8.24%,4.50%,1.58%,-1.40%,-3.47%
au,Australia,East Asia & Pacific,High income,J,Information and communication,35,Motion Pictures & Film,3.17%,4.58%,5.73%,1.98%,5.04%
au,Australia,East Asia & Pacific,High income,J,Information and communication,36,Broadcast Media,0.08%,-0.01%,-0.75%,0.38%,-0.37%
au,Australia,East Asia & Pacific,High income,J,Information and communication,81,Newspapers,-0.87%,-2.98%,-2.22%,0.07%,-1.67%
au,Australia,East Asia & Pacific,High income,J,Information and communication,82,Publishing,-0.53%,-1.48%,-1.43%,-0.78%,-0.03%
au,Australia,East Asia & Pacific,High income,J,Information and communication,96,Information Technology & Services,15.70%,13.50%,9.40%,6.21%,3.01%
au,Australia,East Asia & Pacific,High income,J,Information and communication,103,Writing & Editing,2.01%,2.31%,2.07%,1.79%,0.76%
au,Australia,East Asia & Pacific,High income,J,Information and communication,109,Computer Games,4.66%,2.97%,1.10%,3.92%,2.57%
au,Australia,East Asia & Pacific,High income,J,Information and communication,113,Online Media,-1.28%,-2.18%,-3.64%,-5.47%,-2.12%
au,Australia,East Asia & Pacific,High income,J,Information and communication,118,Computer & Network Security,16.00%,17.17%,13.86%,8.34%,7.41%
au,Australia,East Asia & Pacific,High income,J,Information and communication,119,Wireless,8.88%,6.27%,9.24%,-1.86%,1.88%
au,Australia,East Asia & Pacific,High income,J,Information and communication,126,Media Production,1.78%,1.81%,2.05%,1.11%,1.23%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,41,Banking,2.88%,0.87%,4.62%,0.43%,2.18%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,42,Insurance,3.10%,3.67%,2.96%,3.03%,2.22%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,43,Financial Services,5.79%,3.62%,2.53%,2.00%,0.63%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,45,Investment Banking,4.05%,1.15%,0.58%,2.31%,1.37%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,46,Investment Management,9.34%,8.95%,7.31%,5.49%,4.13%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,106,Venture Capital & Private Equity,15.24%,15.16%,8.78%,4.66%,7.32%
au,Australia,East Asia & Pacific,High income,K,Financial and insurance activities,129,Capital Markets,13.27%,8.29%,3.11%,8.46%,4.78%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,9,Law Practice,-0.69%,-0.31%,-1.03%,-0.31%,0.09%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,10,Legal Services,2.03%,2.71%,1.60%,2.04%,1.25%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,11,Management Consulting,6.19%,8.05%,5.69%,4.44%,3.58%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,12,Biotechnology,5.64%,4.94%,3.68%,3.13%,2.64%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,16,Veterinary,-0.82%,0.93%,1.14%,0.13%,1.87%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,47,Accounting,1.04%,1.46%,0.88%,0.14%,-0.21%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,50,Architecture & Planning,5.34%,4.26%,2.75%,1.22%,-0.52%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,70,Research,5.98%,5.64%,3.78%,2.16%,1.79%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,76,Executive Office,4.82%,4.24%,7.16%,1.91%,4.88%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,80,Marketing & Advertising,2.13%,3.46%,1.22%,-0.09%,-0.20%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,84,Information Services,3.94%,4.06%,3.22%,5.42%,2.63%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,86,Environmental Services,0.73%,1.03%,1.18%,3.30%,0.97%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,97,Market Research,1.42%,1.17%,0.60%,-0.42%,-1.53%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,98,Public Relations & Communications,1.67%,3.03%,5.63%,0.81%,0.11%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,99,Design,3.43%,4.78%,4.07%,2.61%,1.29%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,105,Professional Training & Coaching,4.08%,1.44%,2.10%,2.05%,1.40%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,108,Translation & Localization,10.99%,12.59%,10.69%,2.72%,0.46%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,110,Events Services,-0.01%,1.66%,0.05%,-0.06%,-0.40%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,114,Nanotechnology,-2.21%,3.28%,3.31%,10.66%,4.38%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,120,Alternative Dispute Resolution,4.68%,1.88%,4.75%,0.00%,-0.61%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,123,Outsourcing/Offshoring,2.44%,6.57%,3.85%,0.19%,0.49%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,135,Mechanical or Industrial Engineering,2.93%,2.12%,1.09%,2.03%,1.11%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,136,Photography,1.66%,0.90%,0.14%,-0.46%,-0.08%
au,Australia,East Asia & Pacific,High income,M,Professional scientific and technical activities,140,Graphic Design,2.30%,2.18%,1.15%,0.07%,-0.04%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",28,Entertainment,0.54%,0.01%,-0.15%,0.47%,-0.08%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",33,Sports,0.14%,0.87%,0.58%,-2.22%,-0.15%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",37,Museums & Institutions,1.69%,2.65%,0.16%,0.24%,-0.90%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",38,Fine Art,-0.39%,-0.16%,1.63%,-0.72%,1.57%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",39,Performing Arts,-0.21%,-0.33%,-0.76%,-0.35%,0.43%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",85,Libraries,0.00%,-1.70%,0.92%,1.91%,0.33%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",111,Arts & Crafts,-0.35%,0.78%,0.57%,-0.31%,0.65%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",115,Music,-0.43%,-0.40%,0.88%,0.14%,0.35%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",124,"Health, Wellness & Fitness",0.99%,1.96%,1.31%,0.87%,0.82%
au,Australia,East Asia & Pacific,High income,R,"Arts, entertainment and recreation ",127,Animation,10.21%,8.76%,0.10%,3.50%,9.08%
az,Azerbaijan,Europe & Central Asia,Upper middle income,B,Mining and quarrying,56,Mining & Metals,0.93%,14.42%,7.63%,7.03%,1.44%
az,Azerbaijan,Europe & Central Asia,Upper middle income,B,Mining and quarrying,57,Oil & Energy,-3.69%,-4.12%,-1.97%,-3.10%,0.18%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,15,Pharmaceuticals,-0.63%,3.33%,4.14%,0.91%,1.19%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,23,Food Production,-2.21%,-1.33%,-0.36%,-3.54%,0.00%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,52,Aviation & Aerospace,1.92%,4.00%,0.98%,1.90%,-3.64%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,53,Automotive,-3.48%,-2.92%,-2.58%,-2.56%,0.36%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,54,Chemicals,4.67%,37.58%,22.22%,2.73%,-0.32%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,55,Machinery,-7.27%,-6.73%,-6.80%,-2.04%,2.13%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,58,Shipbuilding,4.03%,2.72%,-1.32%,0.00%,-1.38%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,60,Textiles,6.25%,-2.94%,2.90%,3.90%,4.88%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,83,Printing,3.70%,0.00%,0.00%,1.89%,-1.92%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,112,Electrical & Electronic Manufacturing,-2.45%,-4.08%,-3.44%,-0.62%,0.00%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,117,Plastics,5.50%,1.69%,-5.60%,-5.79%,-8.55%
az,Azerbaijan,Europe & Central Asia,Upper middle income,C,Manufacturing,147,Industrial Automation,-13.79%,-0.82%,6.03%,19.42%,0.00%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,4,Computer Software,-3.57%,-4.51%,-4.49%,-1.32%,2.18%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,6,Internet,0.00%,-1.63%,-1.20%,0.00%,-1.93%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,8,Telecommunications,-6.48%,-6.58%,-6.53%,-1.75%,-2.72%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,36,Broadcast Media,2.45%,-6.83%,-2.67%,1.33%,-4.29%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,82,Publishing,-4.48%,-6.15%,-4.55%,-6.35%,0.00%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,96,Information Technology & Services,-5.30%,-6.49%,-4.21%,-1.82%,-0.69%
az,Azerbaijan,Europe & Central Asia,Upper middle income,J,Information and communication,126,Media Production,-1.68%,-4.39%,0.00%,8.93%,-1.60%
az,Azerbaijan,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,41,Banking,-2.79%,-4.45%,-4.41%,-2.01%,-0.25%
az,Azerbaijan,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,42,Insurance,-0.37%,2.83%,1.45%,-2.26%,-1.38%
az,Azerbaijan,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,43,Financial Services,-0.66%,-5.87%,-1.02%,-2.83%,-0.53%
az,Azerbaijan,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,46,Investment Management,-13.69%,-7.04%,-2.94%,8.37%,2.67%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,9,Law Practice,7.14%,-1.69%,-6.78%,-5.45%,3.77%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,10,Legal Services,1.16%,5.75%,4.30%,12.63%,8.33%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,11,Management Consulting,-5.93%,-3.41%,0.28%,-0.55%,0.52%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,47,Accounting,-6.69%,-3.64%,-8.40%,-0.38%,-0.72%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,50,Architecture & Planning,-1.53%,-3.10%,-0.81%,9.24%,0.00%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,70,Research,-9.33%,0.00%,7.04%,5.13%,-2.30%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,80,Marketing & Advertising,-1.98%,-1.63%,1.42%,0.97%,-1.64%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,86,Environmental Services,-4.92%,0.00%,-3.28%,-3.17%,-1.63%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,99,Design,-2.65%,-8.97%,2.86%,-2.07%,4.14%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,105,Professional Training & Coaching,-4.94%,4.00%,2.44%,3.30%,3.09%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,108,Translation & Localization,-1.54%,-10.94%,-5.08%,-1.75%,-1.75%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,110,Events Services,-7.92%,-4.30%,-1.00%,-8.33%,4.81%
az,Azerbaijan,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,135,Mechanical or Industrial Engineering,-7.05%,-0.73%,1.06%,2.47%,7.34%
az,Azerbaijan,Europe & Central Asia,Upper middle income,R,"Arts, entertainment and recreation ",28,Entertainment,-16.03%,0.93%,3.57%,0.89%,5.36%
az,Azerbaijan,Europe & Central Asia,Upper middle income,R,"Arts, entertainment and recreation ",33,Sports,-37.27%,5.91%,-20.00%,-2.38%,-0.33%
az,Azerbaijan,Europe & Central Asia,Upper middle income,R,"Arts, entertainment and recreation ",124,"Health, Wellness & Fitness",6.54%,13.64%,-2.36%,2.40%,-2.26%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,B,Mining and quarrying,56,Mining & Metals,-4.81%,-1.67%,-2.16%,-1.60%,-4.74%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,B,Mining and quarrying,57,Oil & Energy,-3.85%,-5.69%,-3.02%,-2.53%,-1.16%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,15,Pharmaceuticals,-5.88%,-2.47%,-3.33%,-1.87%,-1.69%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,23,Food Production,-4.50%,-4.67%,-3.03%,-3.96%,0.00%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,53,Automotive,-10.03%,-2.57%,-4.17%,-1.74%,-2.02%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,54,Chemicals,-4.17%,-6.84%,-3.60%,-1.82%,-3.57%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,55,Machinery,-14.29%,-8.82%,-10.29%,-7.46%,-2.99%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,61,Paper & Forest Products,0.00%,-1.45%,-1.49%,-1.49%,-1.52%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,C,Manufacturing,112,Electrical & Electronic Manufacturing,-3.02%,-3.06%,-3.05%,-3.03%,-1.02%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,4,Computer Software,-2.01%,-0.43%,-2.83%,0.39%,2.01%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,6,Internet,-2.38%,-8.62%,-2.39%,-4.65%,-2.05%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,8,Telecommunications,-2.96%,-3.79%,-1.92%,-3.56%,-1.68%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,36,Broadcast Media,-5.26%,-4.29%,-4.94%,0.32%,-0.62%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,96,Information Technology & Services,-7.97%,-6.22%,-3.99%,-4.46%,0.89%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,113,Online Media,-1.69%,-5.08%,-8.20%,-11.86%,-7.41%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,J,Information and communication,126,Media Production,-7.07%,-3.26%,1.11%,-6.52%,0.00%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,41,Banking,-3.62%,-4.59%,-3.42%,-1.73%,-1.97%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,42,Insurance,-2.49%,-1.26%,-4.03%,4.82%,-2.64%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,K,Financial and insurance activities,43,Financial Services,-11.50%,-4.60%,-4.60%,-5.06%,-4.44%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,9,Law Practice,-1.43%,1.45%,-5.71%,-4.35%,0.00%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,10,Legal Services,3.39%,-3.28%,-3.28%,0.00%,-1.59%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,11,Management Consulting,-1.00%,-1.00%,-0.48%,-0.93%,-5.41%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,12,Biotechnology,-3.33%,-5.17%,1.79%,-5.00%,6.90%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,47,Accounting,-5.75%,-4.44%,-7.87%,-7.69%,-3.30%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,50,Architecture & Planning,-2.65%,-6.72%,-5.98%,-0.88%,-7.69%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,70,Research,-4.35%,0.90%,0.88%,-3.49%,-1.74%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,80,Marketing & Advertising,-4.50%,-0.27%,-3.19%,-0.82%,0.00%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,86,Environmental Services,-5.00%,-6.56%,-3.45%,-4.92%,-6.45%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,99,Design,-6.76%,0.00%,-1.54%,-1.49%,-1.49%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,123,Outsourcing/Offshoring,-6.67%,-1.75%,-9.52%,-12.50%,0.00%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,M,Professional scientific and technical activities,135,Mechanical or Industrial Engineering,-2.66%,-3.67%,-5.76%,-3.44%,-3.50%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,R,"Arts, entertainment and recreation ",33,Sports,-4.12%,-6.52%,0.00%,-2.22%,0.00%
ba,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,R,"Arts, entertainment and recreation ",124,"Health, Wellness & Fitness",-3.19%,0.00%,1.12%,5.62%,2.11%
bd,Bangladesh,South Asia,Lower middle income,B,Mining and quarrying,56,Mining & Metals,1.65%,-0.83%,0.00%,0.42%,1.22%
bd,Bangladesh,South Asia,Lower middle income,B,Mining and quarrying,57,Oil & Energy,-3.79%,-0.70%,-0.86%,0.20%,0.43%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,15,Pharmaceuticals,-1.21%,-0.80%,-0.43%,-1.11%,-0.50%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,23,Food Production,-0.52%,0.00%,0.11%,0.85%,1.12%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,52,Aviation & Aerospace,-2.24%,-6.95%,-3.33%,1.20%,-2.53%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,53,Automotive,0.21%,0.86%,0.38%,1.45%,-0.48%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,54,Chemicals,-1.52%,-0.39%,-0.28%,-0.60%,-0.60%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,55,Machinery,0.97%,2.09%,3.19%,2.80%,0.76%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,58,Shipbuilding,-0.28%,4.01%,0.00%,0.32%,-1.59%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,60,Textiles,-1.34%,-0.78%,-0.88%,-0.68%,-1.05%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,61,Paper & Forest Products,-3.41%,7.32%,1.11%,0.00%,0.00%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,62,Railroad Manufacture,0.00%,1.50%,-2.90%,-0.74%,-2.88%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,83,Printing,0.00%,-3.53%,-2.79%,-1.76%,0.22%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,112,Electrical & Electronic Manufacturing,0.89%,1.64%,-0.05%,-0.83%,0.16%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,117,Plastics,1.54%,1.21%,2.75%,1.18%,-1.12%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,144,Renewables & Environment,-2.20%,-0.61%,-5.49%,-1.99%,0.00%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,145,"Glass, Ceramics & Concrete",0.38%,3.17%,5.02%,0.73%,-1.08%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,146,Packaging & Containers,-3.13%,-2.04%,0.14%,-0.14%,1.10%
bd,Bangladesh,South Asia,Lower middle income,C,Manufacturing,147,Industrial Automation,1.56%,2.17%,-0.30%,-0.88%,2.59%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,3,Computer Hardware,2.88%,0.34%,-1.34%,1.01%,0.66%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,4,Computer Software,-5.06%,-5.47%,-3.29%,-2.27%,-0.38%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,5,Computer Networking,-4.89%,-3.02%,1.52%,2.92%,2.25%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,6,Internet,-1.62%,-1.24%,-0.58%,-0.78%,-0.54%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,7,Semiconductors,-7.80%,-5.56%,-3.25%,-4.07%,-3.28%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,8,Telecommunications,-4.38%,-4.94%,-4.10%,-3.12%,-1.62%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,35,Motion Pictures & Film,-2.34%,-2.38%,-2.34%,0.00%,0.78%
bd,Bangladesh,South Asia,Lower middle income,J,Information and communication,36,Broadcast Media,-0.53%,-1.32%,-0.63%,-0.78%,-0.94%
